AZ,A,Z,AX,ME
10,1,0,1n,8071.3171
11,1,1,1h,7288.9705
21,2,1,2h,13135.7216
31,3,1,3h,14949.806
32,3,2,3he,14931.2148
33,3,3,3li,28670
41,4,1,4h,25900
42,4,2,4he,2424.9156
43,4,3,4li,25320
51,5,1,5h,32890
52,5,2,5he,11390
53,5,3,5li,11680
54,5,4,5be,38000
61,6,1,6h,41860
62,6,2,6he,17595.1
63,6,3,6li,14086.793
64,6,4,6be,18375
65,6,5,6b,43600
71,7,1,7h,49140
72,7,2,7he,26101
73,7,3,7li,14908.14
74,7,4,7be,15770.03
75,7,5,7b,27870
82,8,2,8he,31598
83,8,3,8li,20946.84
84,8,4,8be,4941.67
85,8,5,8b,22921.5
86,8,6,8c,35094
92,9,2,9he,40939
93,9,3,9li,24954.3
94,9,4,9be,11347.6
95,9,5,9b,12415.7
96,9,6,9c,28910.5
102,10,2,10he,48810
103,10,3,10li,33051
103.1,10,3.1,10lim,33250
103.2,10,3.2,10lin,33530
104,10,4,10be,12606.7
105,10,5,10b,12050.7
106,10,6,10c,15698.7
107,10,7,10n,38800
113,11,3,11li,40797
114,11,4,11be,20174
115,11,5,11b,8667.9
116,11,6,11c,10650.3
117,11,7,11n,24300
117.1,11,7.1,11nm,25040
123,12,3,12li,50100
124,12,4,12be,25077
125,12,5,12b,13368.9
126,12,6,12c,0
127,12,7,12n,17338.1
128,12,8,12o,32048
134,13,4,13be,33250
134.3,13,4.3,13bep,33950
134.4,13,4.4,13beq,35160
135,13,5,13b,16562.2
136,13,6,13c,3125.0113
137,13,7,13n,5345.48
138,13,8,13o,23112
144,14,4,14be,39950
144.3,14,4.3,14bep,41470
145,14,5,14b,23664
146,14,6,14c,3019.893
147,14,7,14n,2863.417
148,14,8,14o,8007.36
149,14,9,14f,32660
154,15,4,15be,49800
155,15,5,15b,28972
156,15,6,15c,9873.1
157,15,7,15n,101.438
158,15,8,15o,2855.6
159,15,9,15f,16780
164,16,4,16be,57680
165,16,5,16b,37080
166,16,6,16c,13694
167,16,7,16n,5683.7
168,16,8,16o,-4737.0014
